,id_str,file_loc,smooth-or-featured_smooth,smooth-or-featured_featured-or-disk
86887,587739154430820598,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/587739154430820598.png,45.0,1.0
140468,587739631704604743,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/587739631704604743.png,39.0,2.0
97789,587745539443065025,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/587745539443065025.png,12.0,29.0
84845,588848899899064617,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/588848899899064617.png,14.0,34.0
418,588023046947995725,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/588023046947995725.png,20.0,12.0
25150,587735347500417057,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/587735347500417057.png,33.0,0.0
33146,587739721383149823,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/587739721383149823.png,28.0,16.0
185947,587741533302292885,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/587741533302292885.png,32.0,13.0
10670,587733399721279707,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/587733399721279707.png,40.0,2.0
194541,587729776906600638,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/587729776906600638.png,28.0,6.0
98203,587741816240799994,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/587741816240799994.png,34.0,10.0
54705,588017948820963365,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/588017948820963365.png,40.0,0.0
169991,587742549606989903,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/587742549606989903.png,34.0,11.0
85072,587739720309342466,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/587739720309342466.png,8.0,32.0
25988,587731886271889696,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/587731886271889696.png,15.0,29.0
43176,587733604260511920,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/587733604260511920.png,22.0,12.0
207655,588298663575158831,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/588298663575158831.png,37.0,7.0
192021,587742575371616367,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/587742575371616367.png,24.0,18.0
136035,587731869634527394,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/587731869634527394.png,17.0,11.0
57161,588017979958034594,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/588017979958034594.png,29.0,9.0
149182,587742864210395242,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/587742864210395242.png,16.0,17.0
70719,587734894361968820,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/587734894361968820.png,36.0,7.0
2812,587739707410088027,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/587739707410088027.png,34.0,9.0
35936,587733080272928900,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/587733080272928900.png,37.0,3.0
18089,588017992310128823,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/588017992310128823.png,12.0,20.0
39022,588848900457431211,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/588848900457431211.png,34.0,4.0
118770,587739827679199500,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/587739827679199500.png,31.0,8.0
55439,587726016145653902,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/587726016145653902.png,0.0,24.0
62643,587726033330897066,/home/colin/data/munch1tb/zoobot_data/gzimg/sdsspng/587726033330897066.png,2.0,48.0
